,Countries,"Economic freedom, overall index, 2022",Global rank
0,Singapore,84,1
1,Switzerland,84,2
2,Ireland,82,3
3,Luxembourg,81,4
4,New Zealand,81,5
5,Estonia,80,6
6,Netherlands,80,7
7,Taiwan,80,8
8,Australia,78,9
9,Denmark,78,10
10,Finland,78,11
11,Sweden,78,12
12,Canada,77,13
13,Iceland,77,14
14,Norway,77,15
15,Germany,76,16
16,Lithuania,76,17
17,Latvia,75,18
18,South Korea,75,19
19,Austria,74,20
20,Chile,74,21
21,Czechia,74,22
22,Cyprus,73,23
23,UK,73,24
24,Georgia,72,25
25,Malta,72,26
26,USA,72,27
27,Barbados,71,28
28,Bulgaria,71,29
29,Mauritius,71,30
30,Portugal,71,31
31,Slovenia,71,32
32,Belgium,70,33
33,Japan,70,34
34,Slovakia,70,35
35,UA Emirates,70,36
36,Uruguay,70,37
37,Bahamas,69,38
38,Poland,69,39
39,Croatia,68,40
40,Israel,68,41
41,Malaysia,68,42
42,Qatar,68,43
43,Samoa,68,44
44,Spain,68,45
45,Albania,67,46
46,Cape Verde,67,47
47,Hungary,67,48
48,Jamaica,67,49
49,Peru,67,50
50,Romania,67,51
51,France,66,52
52,North Macedonia,66,53
53,St. Vincent & ...,66,54
54,Armenia,65,55
55,Botswana,65,56
56,Brunei,65,57
57,Colombia,65,58
58,Costa Rica,65,59
59,Italy,65,60
60,Panama,65,61
61,Serbia,65,62
62,Indonesia,64,63
63,Kazakhstan,64,64
64,Mexico,64,65
65,Mongolia,64,66
66,Saint Lucia,64,67
67,Bosnia & Herz.,63,68
68,Domin. Rep.,63,69
69,Guatemala,63,70
70,Paraguay,63,71
71,Thailand,63,72
72,Vanuatu,63,73
73,Azerbaijan,62,74
74,Bahrain,62,75
75,Greece,62,76
76,Ivory Coast,62,77
77,Benin,61,78
78,Micronesia,61,79
79,Moldova,61,80
80,Philippines,61,81
81,Seychelles,61,82
82,Tonga,61,83
83,Vietnam,61,84
84,El Salvador,60,85
85,Ghana,60,86
86,Guyana,60,87
87,Honduras,60,88
88,Jordan,60,89
89,S.T.&Principe,60,90
90,Senegal,60,91
91,Tanzania,60,92
92,Bhutan,59,93
93,Kiribati,59,94
94,Madagascar,59,95
95,Morocco,59,96
96,Namibia,59,97
97,Tr.&Tobago,59,98
98,Burkina Faso,58,99
99,Gambia,58,100
100,Kuwait,58,101
101,Montenegro,58,102
102,Belize,57,103
103,Cambodia,57,104
104,Oman,57,105
105,Rwanda,57,106
106,Solomon Isl.,57,107
107,Togo,57,108
108,Turkey,57,109
109,Fiji,56,110
110,Gabon,56,111
111,Kyrgyzstan,56,112
112,Mali,56,113
113,Russia,56,114
114,Saudi Arabia,56,115
115,South Africa,56,116
116,Uzbekistan,56,117
117,Djibouti,55,118
118,Mauritania,55,119
119,Nicaragua,55,120
120,Niger,55,121
121,Papua N.G.,55,122
122,Dominica,54,123
123,Ecuador,54,124
124,Guinea,54,125
125,India,54,126
126,Nigeria,54,127
127,Tunisia,54,128
128,Uganda,54,129
129,Ukraine,54,130
130,Angola,53,131
131,Bangladesh,53,132
132,Belarus,53,133
133,Brazil,53,134
134,Cameroon,53,135
135,Kenya,53,136
136,Malawi,53,137
137,Sri Lanka,53,138
138,Sierra Leone,52,139
139,Mozambique,51,140
140,Swaziland,51,141
141,Argentina,50,142
142,Burma,50,143
143,Chad,50,144
144,Comoros,50,145
145,Ethiopia,50,146
146,Haiti,50,147
147,Nepal,50,148
148,Tajikistan,50,149
149,Egypt,49,150
150,Laos,49,151
151,Pakistan,49,152
152,R. of Congo,49,153
153,Zambia,49,154
154,China,48,155
155,DR Congo,48,156
156,Lesotho,48,157
157,Liberia,48,158
158,Suriname,48,159
159,Eq. Guinea,47,160
160,Lebanon,47,161
161,Maldives,47,162
162,Algeria,46,163
163,C.A. Republic,46,164
164,G.-Bissau,46,165
165,Turkmenistan,46,166
166,Bolivia,43,167
167,Iran,42,168
168,Eritrea,40,169
169,Burundi,39,170
170,Zimbabwe,33,171
171,Sudan,32,172
172,Cuba,30,173
173,Venezuela,25,174
174,North Korea,3,175
